text,label
famous bollywood superstar shah rukh khan die follow accident,1
captain america signing bomb drop child american thing he s ever do captain america actor chris evans sign israeli bomb kill innocent civilian gaza,1
prime minister modi watch video head bageshwar dham dhirendra krishna shastris religious ram katha lecture,1
pure control plan put we 15minute city include people currently live rural suburban area,1
thursday briefing us election viewed abroad people around world closely following us campaign heads final stretch outcome election nov 5 repercussions around globe two candidates donald trump kamala harris often starkly different views global crises challenges,0
disguise mask global african art new york least brooklyn museum leader curatorial practice juxtapose art disparate time place medium culture late foray open friday april 29 wide yet focused title attest disguise mask global african art expand upon show organize seattle art museum feature 25 contemporary artist africa african descent around world often represent several work photography installation draw sculpture video,0
break news dec 17 2020 pre duterte luckily survivesesperonsotto pre duterte ambush convoy cppnpa duterte angry esperon sotto,1
rise dragons firebreathing drones duel ukraine familiar vexing problem russian soldiers using dense cover tree lines prepare storm ukrainian trenches,0
gen john abizaid senate mark mazzetti discuss gen john abizaids testimony iraq senate armed forces committee produce adam b ellick,0
israel ready expand ground force prime minister benjamin netanyahu israel say friday israeli military ready significant expansion ground force gaza,0
mapping ukraine surprise invasion russia ukraine capture dozen russian settlement add new twist war largely settle gruele fight eastern ukraine,0
africas new realism great moment hand chance develop country make sound investment helping break cycle african underdevelopment prospect seem obvious previously elusive,0
syrian rebel celebrate capture hama syrian rebel take city hama thursday continue push south march toward homs major city damascus capital,0
israeli strike hit mosque west bank video scene show significant damage mosque,0
information national taiwan university hospital ntuh doctor team body surgery show 1 covid19 combination sar aid many doctor assume patient discharge hospital nucleic acid test return positive recurrence fully recover characteristic covid19 2 immune system almost completely damage sar attack lung attack bodys immunity aid attack bodys immunity damage organ covid19 patient like sar aids interesting share info taiwan work really hard regard covid,1
dolphins coast san diego swimming away hurricane hilarys path x dolphin stampede spot along coast,1
disinformation fed farright riot deadly stab england less two hour mourner gather southport england tuesday evening honor three child kill brutal stabbing attack hundred rioter flood street already traumatize town,0
one talk linger trauma russian rape ukraine daria flee russianoccupie village western ukraine spend week restlessly wander street whenever grow tired walking would sit park bench tell anyone would listen even perfect stranger russian soldier,0
tuesday briefing two weeks election day two weeks go nov 5 vote polls show donald trump kamala harris running neck neck nate cohn timess chief political analyst writes,0
tuesday briefing wave anxiety ripple financial market yesterday stock fall around world investor zero sign slow american economy,0
remarkable display brilliance academic prowess son renowned activist leader nnamdi kanu achieved extraordinary feat 7 years old young prodigy claimed title best science student united kingdom surpassing competitors united states canada australia 15 countries igbo times magazine,1
international atomic energy report iran report status nonproliferation safeguards security council resolution islamic republic iran,0
amazon fire central africa dakar senegal image wildfire south americas amazon region draw global attention large potentially devastating series fire rage central africa part southern africa,0
paris olympics begin seine stage french word stage scne sound exactly like name river run paris,0
world war ii dutch minesweeper evade japanese eight day disguise island crew cover deck cut tree paint expose surface look like rock move night anchor sic close shore day eventually escape australia,1
wednesday briefing israel approves hezbollah ceasefire deal prime minister benjamin netanyahus cabinet yesterday approved ceasefire deal would suspend fighting israel lebanese armed group hezbollah year conflict,0
europeans unite hate europe london may seem bizarre two farright nationalist politician marine le pen france geert wilders netherlands reach across border form paneuropean group dedicate weaken european union aim transnational political alliance would compete may election european parliament power would cooperate try rein power brussel,0
big rock another proof islaam true religion sic,1
bookshelf africa new book include atinuke splash anna hibiscus young girl play beach family,0
king rama 10 bestow name krasae sin country new province post say krasae sin district southern thailand would become countrys 78th province,1
new zealand veers sharply right leaving jacinda arderns era behind year american voters anger cost living helped donald j trump win presidency similar sentiments new zealand thrust nations conservative government decades,0
fears war south china sea might notice second thomas shoal air disputed atoll near philippines bit larger manhattan sinks beneath south china seas surface high tide,0
south africas conscience reflect south african playwright athol fugard four major new york theater production season,0
recession grow danger australia sydney australia face gather threat 21year run recessionfree growth probably require central bank cut interest rate record low keep time win streak stretch 22,0
golf carts loudspeakers lockboxes florence says grazie tourism headaches leaders florence italy unveiled new plan tackle problems tourism tuscan city prime destination leisure travelers three centuries,0
tropical storm shanshan drenches southern japan disrupting train air travel tropical storm shanshan drenching southern japan record rainfall early friday day making landfall typhoon flooding towns knocking power tens thousands homes disrupting travel forcing four million evacuations,0
former obama aide enters new york city mayors race michael blake former new york state assemblyman bronx veteran obama administration entering crowded race unseat mayor eric adams,0
vaccine direct violation nuremberg code,1
